2016-11-30 10:04:44  [ main:57068 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_1dd668d3c1ce4a259f171e73ac546d6a
2016-11-30 10:04:44  [ main:57077 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_1dd668d3c1ce4a259f171e73ac546d6a
2016-11-30 10:04:44  [ main:57100 ] - [ ERROR ]  插入缓存数据失败, key=login_log_id_1dd668d3c1ce4a259f171e73ac546d6a
2016-11-30 10:04:44  [ main:57104 ] - [ ERROR ]  获取缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:44  [ main:57696 ] - [ ERROR ]  插入缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:45  [ main:58040 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_593ca5c807de4cc289d58e28fcd4f063
2016-11-30 10:04:45  [ main:58044 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_593ca5c807de4cc289d58e28fcd4f063
2016-11-30 10:04:45  [ main:58066 ] - [ ERROR ]  插入缓存数据失败, key=login_log_id_593ca5c807de4cc289d58e28fcd4f063
2016-11-30 10:04:45  [ main:58067 ] - [ ERROR ]  获取缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:45  [ main:58526 ] - [ ERROR ]  插入缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:46  [ main:58788 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_b0565166887d4f819f07ab9430bdc131
2016-11-30 10:04:46  [ main:58790 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_b0565166887d4f819f07ab9430bdc131
2016-11-30 10:04:46  [ main:58814 ] - [ ERROR ]  插入缓存数据失败, key=login_log_id_b0565166887d4f819f07ab9430bdc131
2016-11-30 10:04:46  [ main:58815 ] - [ ERROR ]  获取缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:46  [ main:58925 ] - [ ERROR ]  插入缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:46  [ main:59226 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_e11f98d6ec7e480cb60cb01fe6b90e30
2016-11-30 10:04:46  [ main:59227 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_e11f98d6ec7e480cb60cb01fe6b90e30
2016-11-30 10:04:46  [ main:59246 ] - [ ERROR ]  插入缓存数据失败, key=login_log_id_e11f98d6ec7e480cb60cb01fe6b90e30
2016-11-30 10:04:46  [ main:59248 ] - [ ERROR ]  获取缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:46  [ main:59360 ] - [ ERROR ]  插入缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:46  [ main:59596 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_e5084d6f5c8a4fb18d3f5e875fdd3c9f
2016-11-30 10:04:46  [ main:59597 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_e5084d6f5c8a4fb18d3f5e875fdd3c9f
2016-11-30 10:04:46  [ main:59620 ] - [ ERROR ]  插入缓存数据失败, key=login_log_id_e5084d6f5c8a4fb18d3f5e875fdd3c9f
2016-11-30 10:04:46  [ main:59621 ] - [ ERROR ]  获取缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:46  [ main:59733 ] - [ ERROR ]  插入缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:47  [ main:59985 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_ad2ce2be55c440fea7400448ddd98e14
2016-11-30 10:04:47  [ main:59988 ] - [ ERROR ]  获取缓存数据失败, key=login_log_id_ad2ce2be55c440fea7400448ddd98e14
2016-11-30 10:04:47  [ main:60009 ] - [ ERROR ]  插入缓存数据失败, key=login_log_id_ad2ce2be55c440fea7400448ddd98e14
2016-11-30 10:04:47  [ main:60011 ] - [ ERROR ]  获取缓存数据失败, key=account_auth_domain_1023
2016-11-30 10:04:47  [ main:60118 ] - [ ERROR ]  插入缓存数据失败, key=account_auth_domain_1023
